,MSE/full/mean,MSE/full/std,MSE/full/median,MSE/full/min,MSE/full/max,MSE/full/n,MSE/bbox/mean,MSE/bbox/std,MSE/bbox/median,MSE/bbox/min,MSE/bbox/max,MSE/bbox/n,MSE/masked/mean,MSE/masked/std,MSE/masked/median,MSE/masked/min,MSE/masked/max,MSE/masked/n,MSE/unmasked/mean,MSE/unmasked/std,MSE/unmasked/median,MSE/unmasked/min,MSE/unmasked/max,MSE/unmasked/n,PSNR/full/mean,PSNR/full/std,PSNR/full/median,PSNR/full/min,PSNR/full/max,PSNR/full/n,PSNR/full/n_inf,PSNR/bbox/mean,PSNR/bbox/std,PSNR/bbox/median,PSNR/bbox/min,PSNR/bbox/max,PSNR/bbox/n,PSNR/bbox/n_inf,PSNR/masked/mean,PSNR/masked/std,PSNR/masked/median,PSNR/masked/min,PSNR/masked/max,PSNR/masked/n,PSNR/masked/n_inf,PSNR/unmasked/mean,PSNR/unmasked/std,PSNR/unmasked/median,PSNR/unmasked/min,PSNR/unmasked/max,PSNR/unmasked/n,PSNR/unmasked/n_inf,SSIM/full/mean,SSIM/full/std,SSIM/full/median,SSIM/full/min,SSIM/full/max,SSIM/full/n,SSIM/bbox/mean,SSIM/bbox/std,SSIM/bbox/median,SSIM/bbox/min,SSIM/bbox/max,SSIM/bbox/n,SSIM/masked/mean,SSIM/masked/std,SSIM/masked/median,SSIM/masked/min,SSIM/masked/max,SSIM/masked/n,SSIM/unmasked/mean,SSIM/unmasked/std,SSIM/unmasked/median,SSIM/unmasked/min,SSIM/unmasked/max,SSIM/unmasked/n,GDiff/full_edge/mean,GDiff/full_edge/std,GDiff/full_edge/median,GDiff/full_edge/min,GDiff/full_edge/max,GDiff/full_edge/n,GDiff/inner_edge/mean,GDiff/inner_edge/std,GDiff/inner_edge/median,GDiff/inner_edge/min,GDiff/inner_edge/max,GDiff/inner_edge/n,GDiff/outer_edge/mean,GDiff/outer_edge/std,GDiff/outer_edge/median,GDiff/outer_edge/min,GDiff/outer_edge/max,GDiff/outer_edge/n,KID/full/mean,KID/full/std,KID/bbox/mean,KID/bbox/std,KID/masked/mean,KID/masked/std,KID/unmasked/mean,KID/unmasked/std,LPIPS_alex/full/mean,LPIPS_alex/full/std,LPIPS_alex/full/median,LPIPS_alex/full/min,LPIPS_alex/full/max,LPIPS_alex/full/n,LPIPS_alex/bbox/mean,LPIPS_alex/bbox/std,LPIPS_alex/bbox/median,LPIPS_alex/bbox/min,LPIPS_alex/bbox/max,LPIPS_alex/bbox/n,LPIPS_alex/masked/mean,LPIPS_alex/masked/std,LPIPS_alex/masked/median,LPIPS_alex/masked/min,LPIPS_alex/masked/max,LPIPS_alex/masked/n,LPIPS_alex/unmasked/mean,LPIPS_alex/unmasked/std,LPIPS_alex/unmasked/median,LPIPS_alex/unmasked/min,LPIPS_alex/unmasked/max,LPIPS_alex/unmasked/n
MaskBlur,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.10266898953542113,0.06102190710606457,0.08842223510146141,0.008286423049867153,0.323591023683548,250,0.0035202002404839733,0.003004140597219505,0.0025057332823053002,0.00019791598606389016,0.01803959161043167,250,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,10.70587926787499,2.840885694930311,10.534385441436594,4.900035340893455,20.816328982724798,250,0,25.978897546829714,3.708730153013899,26.01065494445711,17.43773298465007,37.03519125556407,250,0,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.9303094689846039,0.07227366852934212,0.954213559627533,0.6259593963623047,0.9950439929962158,250,0.7781742725372315,0.12097608067979783,0.8086916506290436,0.31356319785118103,0.967486560344696,250,0.9496023310429077,0.5837759276886301,0.8449655126398434,0.5564687733875086,8.953545093432888,250,0.880504388791789,0.4822316307397349,0.7802275868407544,0.47025926306070703,7.25397523879836,250,1.022099805494663,0.6898637579789396,0.8875275339103633,0.5907235776485454,10.391328096450287,250,-0.0018178056925535202,0.0022547610569745302,-0.001489689340814948,0.0022725018206983805,0.005530653055757284,0.002655955031514168,-0.0031649803277105093,0.002205761382356286,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.0719193833116442,0.06810601955138301,0.048891456797719,0.005668458063155413,0.34771794080734253,250,0.08529380873590708,0.0417740377088368,0.0737869068980217,0.019903916865587234,0.2887457311153412,250
CopyAndBlur,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.10266898953542113,0.06102190710606457,0.08842223510146141,0.008286423049867153,0.323591023683548,250,0.0035202002404839733,0.003004140597219505,0.0025057332823053002,0.00019791598606389016,0.01803959161043167,250,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,10.70587926787499,2.840885694930311,10.534385441436594,4.900035340893455,20.816328982724798,250,0,25.978897546829714,3.708730153013899,26.01065494445711,17.43773298465007,37.03519125556407,250,0,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.9303094689846039,0.07227366852934212,0.954213559627533,0.6259593963623047,0.9950439929962158,250,0.7781742725372315,0.12097608067979783,0.8086916506290436,0.31356319785118103,0.967486560344696,250,0.9496023310429077,0.5837759276886301,0.8449655126398434,0.5564687733875086,8.953545093432888,250,0.880504388791789,0.4822316307397349,0.7802275868407544,0.47025926306070703,7.25397523879836,250,1.022099805494663,0.6898637579789396,0.8875275339103633,0.5907235776485454,10.391328096450287,250,-0.0010510110296308994,0.0028050923720002174,-0.0017094278009608388,0.0023911413736641407,0.0055409143678843975,0.0025296523235738277,-0.0025236583314836025,0.0029047245625406504,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.0719193833116442,0.06810601955138301,0.048891456797719,0.005668458063155413,0.34771794080734253,250,0.08529380873590708,0.0417740377088368,0.0737869068980217,0.019903916865587234,0.2887457311153412,250
vanilla,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.10266898953542113,0.06102190710606457,0.08842223510146141,0.008286423049867153,0.323591023683548,250,0.0035202002404839733,0.003004140597219505,0.0025057332823053002,0.00019791598606389016,0.01803959161043167,250,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,10.70587926787499,2.840885694930311,10.534385441436594,4.900035340893455,20.816328982724798,250,0,25.978897546829714,3.708730153013899,26.01065494445711,17.43773298465007,37.03519125556407,250,0,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.9303094689846039,0.07227366852934212,0.954213559627533,0.6259593963623047,0.9950439929962158,250,0.7781742725372315,0.12097608067979783,0.8086916506290436,0.31356319785118103,0.967486560344696,250,0.9496023310429077,0.5837759276886301,0.8449655126398434,0.5564687733875086,8.953545093432888,250,0.880504388791789,0.4822316307397349,0.7802275868407544,0.47025926306070703,7.25397523879836,250,1.022099805494663,0.6898637579789396,0.8875275339103633,0.5907235776485454,10.391328096450287,250,-0.001985912211239338,0.0018469078931957483,-0.0015776681248098612,0.002212179359048605,0.0053300997242331505,0.0031140553764998913,-0.0029189276974648237,0.0022998435888439417,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.0719193833116442,0.06810601955138301,0.048891456797719,0.005668458063155413,0.34771794080734253,250,0.08529380873590708,0.0417740377088368,0.0737869068980217,0.019903916865587234,0.2887457311153412,250
BackgroundReconstruction,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.10266898953542113,0.06102190710606457,0.08842223510146141,0.008286423049867153,0.323591023683548,250,0.0035202002404839733,0.003004140597219505,0.0025057332823053002,0.00019791598606389016,0.01803959161043167,250,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,10.70587926787499,2.840885694930311,10.534385441436594,4.900035340893455,20.816328982724798,250,0,25.978897546829714,3.708730153013899,26.01065494445711,17.43773298465007,37.03519125556407,250,0,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.9303094689846039,0.07227366852934212,0.954213559627533,0.6259593963623047,0.9950439929962158,250,0.7781742725372315,0.12097608067979783,0.8086916506290436,0.31356319785118103,0.967486560344696,250,0.9496023310429077,0.5837759276886301,0.8449655126398434,0.5564687733875086,8.953545093432888,250,0.880504388791789,0.4822316307397349,0.7802275868407544,0.47025926306070703,7.25397523879836,250,1.022099805494663,0.6898637579789396,0.8875275339103633,0.5907235776485454,10.391328096450287,250,-0.001772310701198876,0.0021496859844774008,-0.0013576102210208774,0.0025048116222023964,0.0057310438714921474,0.0028276490047574043,-0.0028644108679145575,0.002191439736634493,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.0719193833116442,0.06810601955138301,0.048891456797719,0.005668458063155413,0.34771794080734253,250,0.08529380873590708,0.0417740377088368,0.0737869068980217,0.019903916865587234,0.2887457311153412,250
BackgroundCopy,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.10266898953542113,0.06102190710606457,0.08842223510146141,0.008286423049867153,0.323591023683548,250,0.0035202002404839733,0.003004140597219505,0.0025057332823053002,0.00019791598606389016,0.01803959161043167,250,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,10.70587926787499,2.840885694930311,10.534385441436594,4.900035340893455,20.816328982724798,250,0,25.978897546829714,3.708730153013899,26.01065494445711,17.43773298465007,37.03519125556407,250,0,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.9303094689846039,0.07227366852934212,0.954213559627533,0.6259593963623047,0.9950439929962158,250,0.7781742725372315,0.12097608067979783,0.8086916506290436,0.31356319785118103,0.967486560344696,250,0.9496023310429077,0.5837759276886301,0.8449655126398434,0.5564687733875086,8.953545093432888,250,0.880504388791789,0.4822316307397349,0.7802275868407544,0.47025926306070703,7.25397523879836,250,1.022099805494663,0.6898637579789396,0.8875275339103633,0.5907235776485454,10.391328096450287,250,-0.0017223620088770986,0.0020376802422106266,-0.001077628112398088,0.0025211479514837265,0.005057709291577339,0.0027330440934747458,-0.0024876785464584827,0.0021833365317434072,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.0719193833116442,0.06810601955138301,0.048891456797719,0.005668458063155413,0.34771794080734253,250,0.08529380873590708,0.0417740377088368,0.0737869068980217,0.019903916865587234,0.2887457311153412,250
SimpleTDPaint,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.013081476278370247,0.012743886504814981,0.008428667671978474,0.0008166169282048941,0.07600851356983185,250,0.10266898953542113,0.06102190710606457,0.08842223510146141,0.008286423049867153,0.323591023683548,250,0.0035202002404839733,0.003004140597219505,0.0025057332823053002,0.00019791598606389016,0.01803959161043167,250,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,20.620773663211196,4.019780808222488,20.742411828166244,11.19137760491283,30.879816215355138,250,0,10.70587926787499,2.840885694930311,10.534385441436594,4.900035340893455,20.816328982724798,250,0,25.978897546829714,3.708730153013899,26.01065494445711,17.43773298465007,37.03519125556407,250,0,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.7060792925953865,0.1371993797158186,0.734326034784317,0.22279970347881317,0.919718861579895,250,0.9303094689846039,0.07227366852934212,0.954213559627533,0.6259593963623047,0.9950439929962158,250,0.7781742725372315,0.12097608067979783,0.8086916506290436,0.31356319785118103,0.967486560344696,250,0.9496023310429077,0.5837759276886301,0.8449655126398434,0.5564687733875086,8.953545093432888,250,0.880504388791789,0.4822316307397349,0.7802275868407544,0.47025926306070703,7.25397523879836,250,1.022099805494663,0.6898637579789396,0.8875275339103633,0.5907235776485454,10.391328096450287,250,-0.0017233227845281363,0.0020389757119119167,-0.002062716521322727,0.0020330087281763554,0.005167720373719931,0.002715150360018015,-0.002547337906435132,0.0022381171584129333,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.15055565617978572,0.07977510098598749,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.0719193833116442,0.06810601955138301,0.048891456797719,0.005668458063155413,0.34771794080734253,250,0.08529380873590708,0.0417740377088368,0.0737869068980217,0.019903916865587234,0.2887457311153412,250
