,MSE/full/mean,MSE/full/std,MSE/full/median,MSE/full/min,MSE/full/max,MSE/full/n,MSE/bbox/mean,MSE/bbox/std,MSE/bbox/median,MSE/bbox/min,MSE/bbox/max,MSE/bbox/n,MSE/masked/mean,MSE/masked/std,MSE/masked/median,MSE/masked/min,MSE/masked/max,MSE/masked/n,MSE/unmasked/mean,MSE/unmasked/std,MSE/unmasked/median,MSE/unmasked/min,MSE/unmasked/max,MSE/unmasked/n,PSNR/full/mean,PSNR/full/std,PSNR/full/median,PSNR/full/min,PSNR/full/max,PSNR/full/n,PSNR/full/n_inf,PSNR/bbox/mean,PSNR/bbox/std,PSNR/bbox/median,PSNR/bbox/min,PSNR/bbox/max,PSNR/bbox/n,PSNR/bbox/n_inf,PSNR/masked/mean,PSNR/masked/std,PSNR/masked/median,PSNR/masked/min,PSNR/masked/max,PSNR/masked/n,PSNR/masked/n_inf,PSNR/unmasked/mean,PSNR/unmasked/std,PSNR/unmasked/median,PSNR/unmasked/min,PSNR/unmasked/max,PSNR/unmasked/n,PSNR/unmasked/n_inf,SSIM/full/mean,SSIM/full/std,SSIM/full/median,SSIM/full/min,SSIM/full/max,SSIM/full/n,SSIM/bbox/mean,SSIM/bbox/std,SSIM/bbox/median,SSIM/bbox/min,SSIM/bbox/max,SSIM/bbox/n,SSIM/masked/mean,SSIM/masked/std,SSIM/masked/median,SSIM/masked/min,SSIM/masked/max,SSIM/masked/n,SSIM/unmasked/mean,SSIM/unmasked/std,SSIM/unmasked/median,SSIM/unmasked/min,SSIM/unmasked/max,SSIM/unmasked/n,GDiff/full_edge/mean,GDiff/full_edge/std,GDiff/full_edge/median,GDiff/full_edge/min,GDiff/full_edge/max,GDiff/full_edge/n,GDiff/inner_edge/mean,GDiff/inner_edge/std,GDiff/inner_edge/median,GDiff/inner_edge/min,GDiff/inner_edge/max,GDiff/inner_edge/n,GDiff/outer_edge/mean,GDiff/outer_edge/std,GDiff/outer_edge/median,GDiff/outer_edge/min,GDiff/outer_edge/max,GDiff/outer_edge/n,KID/full/mean,KID/full/std,KID/bbox/mean,KID/bbox/std,KID/masked/mean,KID/masked/std,KID/unmasked/mean,KID/unmasked/std,LPIPS_alex/full/mean,LPIPS_alex/full/std,LPIPS_alex/full/median,LPIPS_alex/full/min,LPIPS_alex/full/max,LPIPS_alex/full/n,LPIPS_alex/bbox/mean,LPIPS_alex/bbox/std,LPIPS_alex/bbox/median,LPIPS_alex/bbox/min,LPIPS_alex/bbox/max,LPIPS_alex/bbox/n,LPIPS_alex/masked/mean,LPIPS_alex/masked/std,LPIPS_alex/masked/median,LPIPS_alex/masked/min,LPIPS_alex/masked/max,LPIPS_alex/masked/n,LPIPS_alex/unmasked/mean,LPIPS_alex/unmasked/std,LPIPS_alex/unmasked/median,LPIPS_alex/unmasked/min,LPIPS_alex/unmasked/max,LPIPS_alex/unmasked/n
MaskBlur,0.012450236137025058,0.013036751018879064,0.0075829424895346165,0.0007706989417783916,0.07496728003025055,250,0.012450236137025058,0.013036751018879064,0.0075829424895346165,0.0007706989417783916,0.07496728003025055,250,0.08746787935495376,0.06410956270088013,0.07235290110111237,0.00461110332980752,0.3518562614917755,250,0.0032728910138830544,0.002925407234895232,0.002301033935509622,0.00013080255303066224,0.016718333587050438,250,21.084432925422412,4.306611336546119,21.201714121608443,11.251282459803821,31.13115237329186,250,0,21.084432925422412,4.306611336546119,21.201714121608443,11.251282459803821,31.13115237329186,250,0,11.773810138932943,3.427550180333062,11.40547926330903,4.536347160388016,23.361951456048363,250,0,26.421422806601434,3.8530633179800757,26.380784386681043,17.768070133811978,38.83383779281567,250,0,0.7130289816260338,0.13610078960565042,0.7441561818122864,0.22962723672389984,0.9217586517333984,250,0.7130289816260338,0.13610078960565042,0.7441561818122864,0.22962723672389984,0.9217586517333984,250,0.9348781690597534,0.07009189889966493,0.9616995453834534,0.6349208354949951,0.9958359003067017,250,0.7810927637815476,0.12025653858210238,0.8124200701713562,0.3189552426338196,0.9737063646316528,250,0.6009992693310475,0.2805144676692763,0.569218981524729,0.3544346903993262,4.0480772418327575,250,0.5500915303034807,0.15448782462045596,0.5428280823344627,0.31060333807365553,1.777660944316286,250,0.6524312561260838,0.4095456000038817,0.5887392325435961,0.36261732042322337,5.968778502473103,250,-0.0017836642218753695,0.002272364217787981,-0.001393012935295701,0.0025059774052351713,0.004451651591807604,0.0027025395538657904,-0.0026993320789188147,0.0023574132937937975,0.14080850429832936,0.07604934206412113,0.1191278025507927,0.04164949432015419,0.48155850172042847,250,0.14080850429832936,0.07604934206412113,0.1191278025507927,0.04164949432015419,0.48155850172042847,250,0.06326434971531852,0.06473996559736529,0.03813258744776249,0.0017364489613100886,0.34100931882858276,250,0.07745097666233779,0.03895823122151213,0.06713332235813141,0.016443291679024696,0.25016480684280396,250
CopyAndBlur,0.008703268510813359,0.01163491617567565,0.004017785657197237,5.1728609832935035e-05,0.06836561858654022,250,0.008703268510813359,0.01163491617567565,0.004017785657197237,5.1728609832935035e-05,0.06836561858654022,250,0.08095997496508062,0.05672375810285462,0.07058794796466827,0.005215620156377554,0.3699558675289154,250,1.2395312509397626e-05,1.3309748757203137e-05,7.97300072008511e-06,4.020587311970303e-07,7.784337503835559e-05,250,24.631359338320667,6.627692078335017,23.960456192510584,11.65162252258237,42.8626919276814,250,0,24.631359338320667,6.627692078335017,23.960456192510584,11.65162252258237,42.8626919276814,250,0,12.065172576943358,3.411740502063074,11.512762482870588,4.318500803433181,22.82694044959433,250,0,51.061655580003894,4.255347967067953,50.98381133683903,41.087783427196854,63.9571050220971,250,0,0.9341103768348694,0.07067403546314381,0.9596763253211975,0.6132932901382446,0.9959565997123718,250,0.9341103768348694,0.07067403546314381,0.9596763253211975,0.6132932901382446,0.9959565997123718,250,0.9361902117729187,0.06964186957242538,0.961495578289032,0.622022807598114,0.996580958366394,250,0.9993731842041016,0.0005283174650116424,0.9995151162147522,0.9964746832847595,0.9999565482139587,250,0.36377429358616525,0.11847752896801911,0.3525536847048953,0.18141577596214487,1.6171423593106107,250,0.2734017386375139,0.0762219590367326,0.2686334535241708,0.11827326063071676,0.9359158541710785,250,0.45559439871334895,0.1629339411868965,0.4386780767256561,0.21780299356195562,2.1934387013666314,250,-0.002988633932545781,0.002150898100808263,-0.002603249391540885,0.002220272086560726,0.0027702401857823133,0.0019001496257260442,-0.0031141925137490034,0.002640340244397521,0.06665425245836377,0.06890507730943898,0.04258696176111698,0.002619669772684574,0.37579452991485596,250,0.06665425245836377,0.06890507730943898,0.04258696176111698,0.002619669772684574,0.37579452991485596,250,0.062163443250581624,0.06634575053476312,0.03719997592270374,0.0014710321556776762,0.3422820270061493,250,0.0009775058772065676,0.0008918026807083646,0.000690504239173606,6.752477929694578e-05,0.005298985168337822,250
vanilla,0.013081476264633239,0.01274388643952393,0.008428669068962336,0.0008166168699972332,0.07600851356983185,250,0.013081476264633239,0.01274388643952393,0.008428669068962336,0.0008166168699972332,0.07600851356983185,250,0.10266898952424526,0.06102190777237728,0.08842224255204201,0.008286423049867153,0.323591023683548,250,0.003520200276572723,0.003004140635878837,0.0025057332823053002,0.00019791601516772062,0.01803959161043167,250,20.620773657810037,4.019780804760597,20.742411108531236,11.19137760491283,30.879816524916034,250,0,20.620773657810037,4.019780804760597,20.742411108531236,11.19137760491283,30.879816524916034,250,0,10.705879274926636,2.8408857033772486,10.534385075351832,4.900035340893455,20.816328982724798,250,0,25.97889750960804,3.708730156634382,26.01065494445711,17.43773298465007,37.035190616927835,250,0,0.7060792981386185,0.1371993806184319,0.7343260645866394,0.22279968857765198,0.919718861579895,250,0.7060792981386185,0.1371993806184319,0.7343260645866394,0.22279968857765198,0.919718861579895,250,0.9303094725608826,0.07227366593333345,0.9542135000228882,0.6259593963623047,0.9950439929962158,250,0.7781742751598358,0.12097608168095984,0.8086916506290436,0.31356316804885864,0.967486560344696,250,0.9496023310429077,0.5837759276886301,0.8449655126398434,0.5564687733875086,8.953545093432888,250,0.880504388791789,0.4822316307397349,0.7802275868407544,0.47025926306070703,7.25397523879836,250,1.022099805494663,0.6898637579789396,0.8875275339103633,0.5907235776485454,10.391328096450287,250,-0.0019305205205455422,0.001933105755597353,-0.0017497610533609986,0.002261494053527713,0.005774440709501505,0.0029258569702506065,-0.002486264565959573,0.002347721951082349,0.15055565589666367,0.07977510082359655,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.15055565589666367,0.07977510082359655,0.12884271144866943,0.04761829972267151,0.4791167378425598,250,0.07191938305459916,0.06810601933972585,0.048891456797719,0.005668458063155413,0.34771794080734253,250,0.08529380871355534,0.04177403820041554,0.0737869031727314,0.019903918728232384,0.2887457609176636,250
BackgroundReconstruction,0.011079470063210466,0.013398533178837484,0.005570202367380261,0.00031274481443688273,0.1018916592001915,250,0.011079470063210466,0.013398533178837484,0.005570202367380261,0.00031274481443688273,0.1018916592001915,250,0.1081330933086574,0.06513242165499442,0.0970451757311821,0.012274344451725483,0.3297708332538605,250,0.00035589434707799226,0.0003445090936488328,0.00022939823247725144,1.9874301870004274e-05,0.002328601200133562,250,22.530530778564717,5.397483374308709,22.541407286604095,9.918613656657019,35.04809882530203,250,0,22.530530778564717,5.397483374308709,22.541407286604095,9.918613656657019,35.04809882530203,250,0,10.452453293342113,2.725701625100626,10.130289979389197,4.8178775838541945,19.110016933883557,250,0,36.04190951813092,3.6244657470579087,36.39410252771439,26.329048830460362,47.01708117983689,250,0,0.8703817119598388,0.07274414522081092,0.888602614402771,0.558318018913269,0.9723905324935913,250,0.8703817119598388,0.07274414522081092,0.888602614402771,0.558318018913269,0.9723905324935913,250,0.9305216355323791,0.07235657428076343,0.9553763568401337,0.6268361210823059,0.9957591891288757,250,0.9426975510120392,0.029490261683193304,0.9488852024078369,0.840448260307312,0.9886230230331421,250,0.8432403897529855,0.9864965232054634,0.6338609160044986,0.33188696056783445,13.861019696612125,250,0.43657198673710246,0.4272231590943019,0.3496750792307076,0.14501304624151926,5.716761106404069,250,1.2526749182909667,1.4914403888780665,0.9235791475959458,0.3946166923650726,20.750808039967726,250,-0.0016294001834467053,0.002140194410458207,-0.0009146809461526573,0.002385686384513974,0.0021729350555688143,0.0021154533606022596,-0.0024524307809770107,0.0022191659081727266,0.11518149171024561,0.06794242860964098,0.09628931805491447,0.018572915345430374,0.4053311347961426,250,0.11518149171024561,0.06794242860964098,0.09628931805491447,0.018572915345430374,0.4053311347961426,250,0.06851614587940276,0.06507008766399251,0.046166907995939255,0.004267082083970308,0.33624425530433655,250,0.045571013433858755,0.0314447038916313,0.03873548284173012,0.007514656987041235,0.28249040246009827,250
BackgroundReconstructionLite,0.01105948557285592,0.012326274174145724,0.006487913895398378,0.0005537042743526399,0.06821661442518234,250,0.01105948557285592,0.012326274174145724,0.006487913895398378,0.0005537042743526399,0.06821661442518234,250,0.10049369518458844,0.0620370696241604,0.09304694086313248,0.006531623192131519,0.3506300449371338,250,0.0012809106499626069,0.0014256041469250433,0.0007471191929653287,3.835911411442794e-05,0.008583743125200272,250,21.991443865402324,4.764389877227825,21.878978128261053,11.66109838328607,32.56722123913387,250,0,21.991443865402324,4.764389877227825,21.878978128261053,11.66109838328607,32.56722123913387,250,0,10.808099701296749,2.819739434841803,10.313087327314891,4.551508726365649,21.849788775633954,250,0,31.006609327229008,4.310350630981142,31.266161310942465,20.6632328742809,44.1613143121092,250,0,0.7949881246089935,0.10847881778685044,0.824254959821701,0.3379442095756531,0.9422343969345093,250,0.7949881246089935,0.10847881778685044,0.824254959821701,0.3379442095756531,0.9422343969345093,250,0.9315083093643188,0.07155501733804058,0.9568281471729279,0.6285036206245422,0.9948293566703796,250,0.8666493518352508,0.0867060608449396,0.8951011896133423,0.46757757663726807,0.9833487272262573,250,0.8213871394013733,0.5813668758352329,0.7019424443133504,0.3899989128225621,8.025615653659766,250,0.5315429784296591,0.23831320162967765,0.4958212678384505,0.21208830168812137,3.4693634469712245,250,1.115677144347066,0.9213106532766184,0.89110812111395,0.5257893160406276,11.880062684697494,250,-0.000240716923144646,0.0019848088268190622,-0.0005284785875119269,0.00229858816601336,0.003977179527282715,0.00218737730756402,-0.0016618514200672507,0.0020648569334298372,0.17721477423608303,0.09634687124830146,0.1550649106502533,0.04503554105758667,0.6261703968048096,250,0.17721477423608303,0.09634687124830146,0.1550649106502533,0.04503554105758667,0.6261703968048096,250,0.06857208209484815,0.06602242658253855,0.04471721686422825,0.00645017484202981,0.362164705991745,250,0.11067696889489889,0.07969675579151915,0.08438370376825333,0.014057714492082596,0.5087164044380188,250
BackgroundCopy,0.010190492650843225,0.011984896514695483,0.004888803232461214,0.00010788434883579612,0.04971500486135483,250,0.010190492650843225,0.011984896514695483,0.004888803232461214,0.00010788434883579612,0.04971500486135483,250,0.10776874079555274,0.07198941581792402,0.09256751090288162,0.0070647867396473885,0.37976112961769104,250,8.51870134579258e-06,7.153810406263125e-06,6.1305761391849956e-06,4.180415089649614e-07,3.87688705814071e-05,250,23.183502858893743,5.877502505550482,23.10797466627683,13.035125137820035,39.67041555384496,250,0,23.183502858893743,5.877502505550482,23.10797466627683,13.035125137820035,39.67041555384496,250,0,10.60514994951853,2.979725747830785,10.335431053164355,4.204894894580126,21.50900943396772,250,0,52.051592448781754,3.531227901424221,52.12499480610727,44.11516850718538,63.78780593298143,250,0,0.9264092712402344,0.07403584408062823,0.9515315294265747,0.5986025333404541,0.9934110641479492,250,0.9264092712402344,0.07403584408062823,0.9515315294265747,0.5986025333404541,0.9934110641479492,250,0.9298848564624786,0.07256254143798248,0.9548986852169037,0.6116339564323425,0.9942985773086548,250,0.9993354961872101,0.0005416174226346762,0.9994853436946869,0.9962236285209656,0.9999451041221619,250,0.9834913244906152,1.0688454896306776,0.7886162878463019,0.33694626402020444,14.223168279995521,250,0.6838920673158134,0.9007195069029906,0.5149469643256279,0.138761627416553,10.855944223828335,250,1.2912261000907126,1.2424401255504203,1.054476269095427,0.46152480115186245,17.07173464054064,250,-0.0028558254707604647,0.002289483556523919,-0.002896652091294527,0.002140660071745515,0.004662642255425453,0.0025786340702325106,-0.003976268693804741,0.002036123303696513,0.07370655791088938,0.06931744039568696,0.05101735517382622,0.004233743064105511,0.34658297896385193,250,0.07370655791088938,0.06931744039568696,0.05101735517382622,0.004233743064105511,0.34658297896385193,250,0.07208757221139968,0.06793180604937468,0.047190308570861816,0.005361999850720167,0.3277742862701416,250,0.0006559334651974495,0.0005773504090654358,0.000488374280394055,2.7452060749055818e-05,0.005055713467299938,250
SimpleTDPaint,0.014084662415552885,0.013917323360891925,0.00927181402221322,0.0009222265216521919,0.08925136178731918,250,0.014084662415552885,0.013917323360891925,0.00927181402221322,0.0009222265216521919,0.08925136178731918,250,0.11023681009188295,0.06793823293678981,0.09521100670099258,0.008629490621387959,0.47925305366516113,250,0.003537245478364639,0.0029870495205604024,0.0026497425278648734,0.00021563816699199378,0.01768711768090725,250,20.338958028474767,4.071693992102198,20.32871451518509,10.493851487484713,30.351623923729825,250,0,20.338958028474767,4.071693992102198,20.32871451518509,10.493851487484713,30.351623923729825,250,0,10.35850958215924,2.715993693769265,10.213129121988828,3.1943511123924977,20.640148389139142,250,0,25.862196744284642,3.506283347281798,25.767965823804225,17.523429346011365,36.66274368499151,250,0,0.7048705823421478,0.1364304854324564,0.7400617003440857,0.23533257842063904,0.9151818156242371,250,0.7048705823421478,0.1364304854324564,0.7400617003440857,0.23533257842063904,0.9151818156242371,250,0.9294968733787536,0.07299589610624044,0.9536546766757965,0.6223286986351013,0.9938926100730896,250,0.7779648805856705,0.12040957621788535,0.8098618984222412,0.3063042163848877,0.95632404088974,250,0.9886802118142188,1.0564878535133757,0.8477250136397398,0.5142432720895758,16.882694448112378,250,0.9333952311878866,1.040597504482335,0.7939165549092837,0.46371613147194135,16.498627732258953,250,1.0506948340523024,1.0887035820117024,0.8773217875703885,0.5310421828795223,17.207602891606463,250,-0.0013099383795633912,0.0025926369708031416,-0.0013489555567502975,0.0021232804283499718,0.004789292812347412,0.0024492754600942135,-0.002518370049074292,0.0020981517154723406,0.15085497477650642,0.07878671108580584,0.12613337486982346,0.04765303432941437,0.4768170416355133,250,0.15085497477650642,0.07878671108580584,0.12613337486982346,0.04765303432941437,0.4768170416355133,250,0.07223799727484584,0.06818816633217765,0.047693436965346336,0.004159251227974892,0.3368275761604309,250,0.08552249527722597,0.04113154298137201,0.07605099305510521,0.02136652171611786,0.3247925341129303,250
